% start	end	CellId	TxBytes	RxBytes
24	25	2	104583	104583
24	25	1	68654	68057
25	26	5	105800	105800
25	26	2	66129	66598
25	26	4	23002	23219
25	26	2	77863	34146
25	26	1	106913	106913
25	26	5	86800	86366
25	26	1	33714	33405
25	26	4	49257	49257
25	26	2	63293	63293
25	26	4	49257	49257
25	26	1	105982	105982
25	26	1	22568	22568
25	26	2	75603	75603
25	26	1	22351	22568
25	26	4	49257	49257
25	26	2	39552	39552
25	26	4	13965	13832
25	26	2	54729	54729
25	26	1	22568	22568
25	26	4	23219	23002
25	26	2	30140	30140
25	26	1	33063	33063
25	26	4	13965	13699
25	26	5	105800	105800
25	26	1	47993	47572
25	26	5	105800	105622
25	26	4	71640	72237
25	26	4	23002	22785
25	26	2	96157	96157
25	26	1	69849	70446
26	27	5	105802	105802
26	27	2	66598	66129
26	27	4	22877	22877
26	27	2	57677	57677
26	27	1	105600	105600
26	27	5	49693	49259
26	27	1	31433	31525
26	27	4	48836	48836
26	27	2	66598	66598
26	27	4	48836	48836
26	27	1	105982	105982
26	27	1	23254	23254
26	27	2	80037	80037
26	27	1	27386	27386
26	27	4	48836	48836
26	27	2	39552	39861
26	27	4	13783	13517
26	27	2	57677	57677
26	27	1	23002	22568
26	27	4	32643	32860
26	27	5	28608	27194
26	27	1	33990	33681
26	27	4	13832	13566
26	27	5	105800	105800
26	27	1	48836	49257
26	27	5	105806	105806
26	27	4	86779	86004
26	27	4	23002	23002
26	27	2	100446	100446
26	27	1	71639	71639
27	28	5	105800	105800
27	28	2	68474	68943
27	28	4	23217	23217
27	28	2	59361	59782
27	28	1	105600	105600
27	28	5	43400	43400
27	28	1	32891	32799
27	28	4	49256	49256
27	28	2	66912	66912
27	28	4	49256	49256
27	28	1	105882	105882
27	28	1	23219	23219
27	28	2	87757	87160
27	28	1	33990	33990
27	28	4	49257	48836
27	28	2	41097	41097
27	28	4	13832	13832
27	28	2	59782	59361
27	28	1	23436	23002
27	28	4	29593	29593
27	28	5	26600	26201
27	28	1	33990	34299
27	28	4	13965	13965
27	28	5	105800	105800
27	28	1	49257	49257
27	28	5	105800	105800
27	28	4	93775	93775
27	28	4	23219	23219
27	28	2	108976	108976
27	28	1	72834	72834
28	29	5	105519	105519
28	29	2	61133	61133
28	29	4	25172	25172
28	29	2	57676	57676
28	29	1	104576	104576
28	29	5	43613	43830
28	29	1	36153	36153
28	29	4	53467	53046
28	29	2	57676	57255
28	29	4	53046	53046
28	29	1	105638	105365
28	29	2	17724	17345
28	29	2	84176	84176
28	29	1	36153	36153
28	29	4	53045	53466
28	29	2	39860	39860
28	29	4	15161	15028
28	29	2	57255	57676
28	29	1	24521	24738
28	29	4	34445	34445
28	29	5	21945	21679
28	29	1	36153	36153
28	29	4	18046	17780
28	29	5	105519	105519
28	29	1	52801	52801
28	29	5	105360	105224
28	29	4	100749	101524
28	29	5	13198	12252
28	29	2	104071	104071
28	29	1	76415	76415
29	30	5	105800	105025
29	30	2	55993	55993
29	30	4	25823	25823
29	30	2	55993	55572
29	30	1	105800	105800
29	30	5	52221	52221
29	30	1	36461	36461
29	30	4	54730	55151
29	30	2	55572	55993
29	30	4	49628	49628
29	30	1	105638	105911
29	30	1	12138	11840
29	30	2	81789	82386
29	30	1	36462	36462
29	30	4	54730	54730
29	30	2	38625	38316
29	30	4	15428	15295
29	30	2	55993	55993
29	30	1	24955	24955
29	30	4	38007	37698
29	30	5	21280	20748
29	30	1	36461	36461
29	30	4	25606	25389
29	30	5	105800	105800
29	30	1	55856	55856
29	30	5	100992	101120
29	30	4	113424	113114
29	30	5	9558	8910
29	30	2	106175	106175
29	30	1	78206	78206
30	31	5	106083	106858
30	31	2	55993	55993
30	31	4	23870	23870
30	31	2	63079	63031
30	31	1	105800	105800
30	31	5	59636	59327
30	31	1	36153	36153
30	31	4	50519	50519
30	31	2	61218	61218
30	31	4	44445	44024
30	31	1	105600	105600
30	31	2	14202	13878
30	31	2	82385	82385
30	31	1	36153	36153
30	31	4	50941	50941
30	31	2	38625	38934
30	31	4	14364	14098
30	31	2	56414	56414
30	31	1	24738	24738
30	31	4	34917	35226
30	31	5	19032	18604
30	31	1	36153	36153
30	31	4	24087	24087
30	31	5	106083	106083
30	31	1	60970	60501
30	31	5	100150	100150
30	31	4	95047	95357
30	31	4	19470	18767
30	31	2	105589	105589
30	31	1	77013	77013
31	32	5	105800	105800
31	32	2	48415	48415
31	32	4	31537	31537
31	32	2	48773	49242
31	32	1	106676	106676
31	32	5	71892	72201
31	32	1	39552	39861
31	32	4	48836	48836
31	32	2	55811	55342
31	32	4	48415	48836
31	32	1	105600	105600
31	32	2	13837	13785
31	32	2	70445	70445
31	32	1	39860	39860
31	32	4	48835	48414
31	32	2	33063	33063
31	32	4	13832	13699
31	32	2	47993	47993
31	32	1	27342	27125
31	32	4	33372	33372
31	32	2	22435	21975
31	32	1	39861	39552
